Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Nuc_Completeness,Geo_Location,Country,Host,Isolation_Source,Collection_Date
KM822071,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822072,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822073,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822074,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822075,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822076,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822077,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822078,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822079,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822080,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822081,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822082,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822083,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822084,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822085,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822086,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822087,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822088,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822089,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822090,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822091,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822092,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822093,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822094,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822095,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822096,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822097,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822098,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822099,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822100,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822101,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822102,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822103,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822104,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822105,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822106,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822107,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822108,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822109,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2009
KM822110,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Sierra Leone,Sierra Leone,Mastomys natalensis,,2010
KM822111,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Sierra Leone,Sierra Leone,Mastomys natalensis,,2010
KM822112,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Sierra Leone,Sierra Leone,Mastomys natalensis,,2010
KM822113,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Sierra Leone,Sierra Leone,Mastomys natalensis,,2010
KM822114,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Sierra Leone,Sierra Leone,Mastomys natalensis,,2009
KM822115,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Sierra Leone,Sierra Leone,Mastomys natalensis,,2009
KM822116,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Sierra Leone,Sierra Leone,Mastomys natalensis,,2012
KM822117,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Sierra Leone,Sierra Leone,Mastomys natalensis,,2012
KM822118,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Sierra Leone,Sierra Leone,Mastomys natalensis,,2012
KM822119,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Sierra Leone,Sierra Leone,Mastomys natalensis,,2012
KM822120,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Sierra Leone,Sierra Leone,Mastomys natalensis,,2012
KM822121,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Sierra Leone,Sierra Leone,Mastomys natalensis,,2012
KM822122,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Sierra Leone,Sierra Leone,Mastomys natalensis,,2012
KM822123,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Sierra Leone,Sierra Leone,Mastomys natalensis,,2012
KM822124,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Sierra Leone,Sierra Leone,Mastomys natalensis,,2012
KM822125,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Sierra Leone,Sierra Leone,Mastomys natalensis,,2012
KM822126,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Sierra Leone,Sierra Leone,Mastomys natalensis,,2012
KM822127,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,,,1969
